Game Date,Game Start Date,Game Type,Grade,Round,Game Status,Venue,Playing Surface,Time,Toss Winner,Elected To,Home Team,Home Team Organisation Name,Home Team Score,Home Team Over Limit,Home Team Result,Home Team Players In Lineup,Home Team Player Points,Away Team,Away Team Organisation Name,Away Team Score,Away Team Over Limit,Away Team Result,Away Team Players In Lineup,Away Team Player Points,Bye,Host Organisation,Competition,Competition Type,Season,Game Alias,Game Code,Game Id,Result Source,Result Timestamp,Last Updated At,Last Updated By,Last Updated By Organisation
"04/10/2025, 11/10/2025",2025-10-04,Two Day,"A Grade (80 Overs, 12 Players)",Round 1,Final,Ted Ajani Reserve,Ted Ajani Reserve,12:30,Bulleen Templestowe - 2nd XI,Bat,Bulleen Templestowe - 2nd XI,Bulleen Templestowe Cricket Club,"9/238 (70.4), 0/0",,Lost on first innings,11,,Laburnum - 2nd XI,Laburnum Cricket Club,2-d/242 (59.4),,Won on first innings,11,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,cd0767,cd076726-c45b-480a-9a7d-61f0e657da29,Manual,12/10/2025 02:30 (Australia/Melbourne),2025-10-12T02:30:00+11:00[Australia/Melbourne],Sumeet Pal,Laburnum Cricket Club
"04/10/2025, 11/10/2025",2025-10-04,Two Day,"I Grade (Split Innings - 64 Overs, 13 Players)",Round 1,Final,Koonung Reserve,West Oval,12:30,Laburnum - 5th XI,Bat,Blackburn North CC - 4th XI,Blackburn North Cricket Club,10/149 (42),,Lost on first innings,11,,Laburnum - 5th XI,Laburnum Cricket Club,2/207 (32),,Won on first innings,12,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,7b12d6,7b12d6b8-6e5b-49c1-9ccf-9a11cc4ecd1a,Manual,11/10/2025 14:45 (Australia/Melbourne),2025-10-11T14:45:00+11:00[Australia/Melbourne],Neil Kloot,Laburnum Cricket Club
"04/10/2025, 11/10/2025",2025-10-04,Two Day,"H Grade (Split Innings - 64 Overs, 13 Players)",Round 1,Final,Mahoneys Reserve,Oval 3 - South West,12:30,Laburnum - 4th XI,Bat,Nunawading - 5th XI,Nunawading Cricket Club,4/299 (64),,Won on first innings,12,,Laburnum - 4th XI,Laburnum Cricket Club,10/249 (60.4),,Lost on first innings,12,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,d7b767,d7b767d0-e893-4125-81d5-dcea00ef9d21,Manual,12/10/2025 15:09 (Australia/Melbourne),2025-10-12T15:09:00+11:00[Australia/Melbourne],Thomas Taylor,Nunawading Cricket Club
"18/10/2025, 25/10/2025",2025-10-18,Two Day,"A Grade (80 Overs, 12 Players)",Round 2,Final,Mahoneys Reserve,Bob Saker Oval,13:00,Laburnum - 2nd XI,Bowl,Nunawading - 2nd XI,Nunawading Cricket Club,7/323 (80),0,Won on first innings,12,,Laburnum - 2nd XI,Laburnum Cricket Club,10/253 (71),0,Lost on first innings,12,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,932053,93205350-da3c-4ccc-9bc8-59c7ab5dbf89,E-scoring,25/10/2025 17:52 (Australia/Melbourne),2025-10-25T17:52:00+11:00[Australia/Melbourne],,
"18/10/2025, 25/10/2025",2025-10-18,Two Day,"C Grade (70 Overs, 12 Players)",Round 2,Final,Terrarra Park,Oval 3 - East,13:00,Forest Hill - 3rd XI,Bat,Forest Hill - 3rd XI,Forest Hill Cricket Club (VIC),10/122 (58.4),,Lost on first innings,12,,Laburnum - 3rd XI,Laburnum Cricket Club,5/126 (59.5),,Won on first innings,11,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,8c984e,8c984e31-ef76-433c-a098-8ca735e6e791,Manual,26/10/2025 14:37 (Australia/Melbourne),2025-10-26T14:37:00+11:00[Australia/Melbourne],Justin Day,Laburnum Cricket Club
01/11/2025,2025-11-01,One Day,3. Compare & Conect Dorothy McIntosh Shield,Round 3,Final,Highfield Park,South Oval,13:00,Wyclif - 1st XI,Bowl,Wyclif - 1st XI,Wyclif Cricket Club,2/217 (37.4),40,Won,11,16,Laburnum - 1st XI,Laburnum Cricket Club,7/216 (40),40,Lost,11,12,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,a35f0b,a35f0b39-d8d4-4772-a76b-f72c4ea0e01f,E-scoring,01/11/2025 18:08 (Australia/Melbourne),2025-11-02T16:32:00+11:00[Australia/Melbourne],Austin Rainey,Wyclif Cricket Club
08/11/2025,2025-11-08,One Day,"I Grade (Split Innings - 64 Overs, 13 Players)",Round 3,Abandoned,Davey Lane Reserve,Davey Lane Reserve,13:00,,,Vermont South - 4thXI,Vermont South Cricket Club,,32,Abandoned,10,,Laburnum - 5th XI,Laburnum Cricket Club,,32,Abandoned,13,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,f7e4cc,f7e4ccc9-5829-4bc5-828f-4ba88b779d80,Manual,08/11/2025 23:27 (Australia/Melbourne),2025-11-08T23:27:00+11:00[Australia/Melbourne],Sumeet Pal,Laburnum Cricket Club
08/11/2025,2025-11-08,One Day,3. Compare & Conect Dorothy McIntosh Shield,Round 4,Abandoned,Glen Waverley North Reserve,Glen Waverley North Reserve,13:00,,,Glen Waverley Cougars - 1st XI,Glen Waverley Cougars Cricket Club,,40,Abandoned,11,12,Laburnum - 1st XI,Laburnum Cricket Club,,40,Abandoned,11,12,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,d1df5a,d1df5afd-9af2-4456-8c39-fe40fae78fe3,Manual,08/11/2025 23:28 (Australia/Melbourne),2025-11-08T23:28:00+11:00[Australia/Melbourne],Sumeet Pal,Laburnum Cricket Club
15/11/2025,2025-11-15,One Day,"I Grade (Split Innings - 64 Overs, 13 Players)",Round 4,Final,Boronia Grove Reserve,Boronia Grove Reserve,13:00,Doncaster - 5th XI,Bowl,Doncaster - 5th XI,Doncaster Cricket Club (VIC),3/130 (21.1),32,Won,13,,Laburnum - 5th XI,Laburnum Cricket Club,9/128 (32),32,Lost,13,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,13e83f,13e83fe2-5bf9-458e-b2d3-51f525cec384,E-scoring,15/11/2025 16:47 (Australia/Melbourne),2025-11-15T18:22:00+11:00[Australia/Melbourne],Warren Earl,Doncaster Cricket Club (VIC)
15/11/2025,2025-11-15,One Day,"A Grade (80 Overs, 12 Players)",Round 5,Final,Stradbroke Park,North Oval,13:00,Koonung Heights - 2nd XI,Bat,Koonung Heights - 2nd XI,Koonung Heights Cricket Club,3/255 (40),40,Won,11,,Laburnum - 2nd XI,Laburnum Cricket Club,9/158 (40),40,Lost,12,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,2d3253,2d3253cb-b5d3-4178-b002-a77da7574860,Manual,15/11/2025 22:37 (Australia/Melbourne),2026-03-09T18:47:00+11:00[Australia/Melbourne],Michael Whitehead,Box Hill Reporter District Cricket Association
15/11/2025,2025-11-15,One Day,"H Grade (Split Innings - 64 Overs, 13 Players)",Round 4,Final,Donvale Reserve,Donvale Reserve #4,13:00,Laburnum - 4th XI,Bowl,St. Davids - 4th XI,St Davids Cricket Club,6/192 (32),32,Won,13,,Laburnum - 4th XI,Laburnum Cricket Club,6/136 (32),32,Lost,12,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,3e6ea8,3e6ea831-63a7-4e4b-914b-9732a0a5267d,E-scoring,16/11/2025 08:39 (Australia/Melbourne),2025-11-17T10:59:00+11:00[Australia/Melbourne],Paul Nowak,St Davids Cricket Club
22/11/2025,2025-11-22,One Day,"H Grade (Split Innings - 64 Overs, 13 Players)",Round 5,Final,Freeway Reserve,North Oval,13:00,Laburnum - 4th XI,Bat,Notting Hill Brandon Park - 4th XI,Notting Hill Brandon Park Cricket Club,5/106 (30.2),32,Won,11,,Laburnum - 4th XI,Laburnum Cricket Club,9/104 (32),32,Lost,12,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,2eb106,2eb10685-47d0-4438-a0d6-7b4c111e37b4,E-scoring,22/11/2025 17:29 (Australia/Melbourne),2025-11-24T11:59:00+11:00[Australia/Melbourne],David Katic,Notting Hill Brandon Park Cricket Club
22/11/2025,2025-11-22,One Day,3. Compare & Conect Dorothy McIntosh Shield,Round 7,Final,Brandon Park Reserve,Brandon Park Reserve,13:00,Mulgrave Wheelers Hill - 1st XI,Bowl,Mulgrave Wheelers Hill - 1st XI,Mulgrave Wheelers Hill Cricket Club,4/232 (38.3),40,Won,11,12,Laburnum - 1st XI,Laburnum Cricket Club,5/229 (40),40,Lost,11,12,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,85a127,85a127bc-e158-45b6-8ca7-fe9f1bd5f27d,E-scoring,22/11/2025 18:45 (Australia/Melbourne),2025-11-23T02:44:00+11:00[Australia/Melbourne],Sumeet Pal,Laburnum Cricket Club
