Game Date,Game Start Date,Game Type,Grade,Round,Game Status,Venue,Playing Surface,Time,Toss Winner,Elected To,Home Team,Home Team Organisation Name,Home Team Score,Home Team Over Limit,Home Team Result,Home Team Players In Lineup,Home Team Player Points,Away Team,Away Team Organisation Name,Away Team Score,Away Team Over Limit,Away Team Result,Away Team Players In Lineup,Away Team Player Points,Bye,Host Organisation,Competition,Competition Type,Season,Game Alias,Game Code,Game Id,Result Source,Result Timestamp,Last Updated At,Last Updated By,Last Updated By Organisation
"04/10/2025, 11/10/2025",2025-10-04,Two Day,"C Grade (70 Overs, 12 Players)",Round 1,Final,Eley Park,Eley Park,12:30,Box Hill North Super Kings - 4th XI,Bat,Laburnum - 3rd XI,Laburnum Cricket Club,10/263 (68.3),,Lost on first innings,12,,Box Hill North Super Kings - 4th XI,Box Hill North Super Kings Cricket Club,10/284 (68.4),,Won on first innings,12,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,51a51f,51a51fa9-3a37-46c5-ad6b-e46b6751a4a0,Manual,13/10/2025 20:30 (Australia/Melbourne),2025-10-13T20:30:00+11:00[Australia/Melbourne],Justin George,Box Hill North Super Kings Cricket Club
"04/10/2025, 11/10/2025",2025-10-04,Two Day,3. Compare & Conect Dorothy McIntosh Shield,Round 1,Final,Kalang Park,Kalang Park,12:30,Laburnum - 1st XI,Bat,Laburnum - 1st XI,Laburnum Cricket Club,6/372 (80),,Won on first innings,11,12,Mitcham - 2nd XI,Mitcham Cricket Club,10/253 (69.3),,Lost on first innings,11,12,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,d4e05a,d4e05a72-2f00-4cea-b73f-6a0cdae71b17,Manual,12/10/2025 10:06 (Australia/Melbourne),2025-10-12T10:06:00+11:00[Australia/Melbourne],Steve Frost,Mitcham Cricket Club
"18/10/2025, 25/10/2025",2025-10-18,Two Day,"H Grade (Split Innings - 64 Overs, 13 Players)",Round 2,Final,Mirrabooka Reserve,Mirrabooka Reserve #3 - North,13:00,Laburnum - 4th XI,Bowl,Laburnum - 4th XI,Laburnum Cricket Club,"9/100 (30.2), 9/169 (49)",,Tied outright lost first innings,11,,Notting Hill Brandon Park - 4th XI,Notting Hill Brandon Park Cricket Club,"3/174 (32), 0/95 (10)",,Tied outright won first innings,13,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,f63396,f633965d-6f40-4454-be7e-8b42548a07a3,Manual,31/10/2025 21:49 (Australia/Melbourne),2025-10-31T21:49:00+11:00[Australia/Melbourne],Sumeet Pal,Laburnum Cricket Club
"18/10/2025, 25/10/2025",2025-10-18,Two Day,"I Grade (Split Innings - 64 Overs, 13 Players)",Round 2,Final,Eley Park,Eley Park,13:00,Blackburn South - 4th XI,Bowl,Laburnum - 5th XI,Laburnum Cricket Club,9/103 (50.4),,Lost on first innings,11,,Blackburn South - 4th XI,Blackburn South Cricket Club,10/141 (39.2),,Won on first innings,13,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,8a63b6,8a63b680-a1f5-4800-b58d-5ab4818f8cc9,Manual,26/10/2025 11:47 (Australia/Melbourne),2025-10-26T11:47:00+11:00[Australia/Melbourne],Justin Lui,Blackburn South Cricket Club
"18/10/2025, 25/10/2025",2025-10-18,Two Day,3. Compare & Conect Dorothy McIntosh Shield,Round 2,Final,Kalang Park,Kalang Park,13:00,Mulgrave Wheelers Hill - 1st XI,Bowl,Laburnum - 1st XI,Laburnum Cricket Club,0/243 (36),,Won on first innings,11,12,Mulgrave Wheelers Hill - 1st XI,Mulgrave Wheelers Hill Cricket Club,"10/119 (43.2), 1/189 (51)",,Lost on first innings,11,13,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,a8b449,a8b4497a-28b5-4702-ab5f-f9c3c1daab70,Manual,22/01/2026 11:47 (Australia/Melbourne),2026-01-22T11:47:00+11:00[Australia/Melbourne],Todd Anderson,Box Hill Reporter District Cricket Association
01/11/2025,2025-11-01,One Day,"A Grade (80 Overs, 12 Players)",Round 3,Final,Kalang Park,Kalang Park,13:00,Laburnum - 2nd XI,Bat,Laburnum - 2nd XI,Laburnum Cricket Club,7/266 (40),40,Won,12,,St. Davids - 2nd XI,St Davids Cricket Club,9/195 (40),40,Lost,12,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,e2de1a,e2de1ab7-59c9-45c5-9f00-0a3a7e447a13,E-scoring,01/11/2025 20:50 (Australia/Melbourne),2025-11-02T10:59:00+11:00[Australia/Melbourne],Stewart Kennedy,St Davids Cricket Club
08/11/2025,2025-11-08,One Day,"C Grade (70 Overs, 12 Players)",Round 3,Abandoned,Eley Park,Eley Park,13:00,,,Laburnum - 3rd XI,Laburnum Cricket Club,,35,Abandoned,12,,Blackburn North CC - 3rd XI,Blackburn North Cricket Club,,35,Abandoned,11,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,c61e71,c61e718c-cb04-4e46-901a-967950dbaafc,Manual,08/11/2025 23:27 (Australia/Melbourne),2025-11-08T23:27:00+11:00[Australia/Melbourne],Sumeet Pal,Laburnum Cricket Club
08/11/2025,2025-11-08,One Day,"H Grade (Split Innings - 64 Overs, 13 Players)",Round 3,Abandoned,Mirrabooka Reserve,Mirrabooka Reserve #3 - North,13:00,,,Laburnum - 4th XI,Laburnum Cricket Club,,32,Abandoned,13,,Blackburn - 5th XI,Blackburn Cricket Club,,32,Abandoned,11,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,150f72,150f72ef-fb87-4b7e-a8ba-37fe01ed094a,Manual,08/11/2025 23:27 (Australia/Melbourne),2025-11-09T01:10:00+11:00[Australia/Melbourne],Sumeet Pal,Laburnum Cricket Club
08/11/2025,2025-11-08,One Day,"A Grade (80 Overs, 12 Players)",Round 4,Abandoned,Kalang Park,Kalang Park,13:00,,,Laburnum - 2nd XI,Laburnum Cricket Club,,40,Abandoned,12,,Glen Waverley Cougars - 2nd XI,Glen Waverley Cougars Cricket Club,,40,Abandoned,12,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,5c95a5,5c95a519-d733-4d67-802f-ed20f24ed4e6,Manual,08/11/2025 23:28 (Australia/Melbourne),2025-11-09T01:20:00+11:00[Australia/Melbourne],Sumeet Pal,Laburnum Cricket Club
15/11/2025,2025-11-15,One Day,3. Compare & Conect Dorothy McIntosh Shield,Round 5,Final,Kalang Park,Kalang Park,13:00,Laburnum - 1st XI,Bowl,Laburnum - 1st XI,Laburnum Cricket Club,6/241 (39.1),40,Won,11,12,Glen Waverley Hawks - 1st XI,Glen Waverley Hawks Cricket Club,7/240 (40),40,Lost,11,16,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,296844,29684423-860e-4fd1-89ce-6e79cd61034e,E-scoring,15/11/2025 18:44 (Australia/Melbourne),2025-11-15T22:27:00+11:00[Australia/Melbourne],Cameron Hocart,Glen Waverley Hawks Cricket Club
15/11/2025,2025-11-15,One Day,"C Grade (70 Overs, 12 Players)",Round 4,Final,Mirrabooka Reserve,Mirrabooka Reserve #3 - North,13:00,Laburnum - 3rd XI,Bat,Laburnum - 3rd XI,Laburnum Cricket Club,8/163 (35),35,Lost,12,,Blackburn - 4th XI,Blackburn Cricket Club,3/164 (33.3),35,Won,12,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,7ec66d,7ec66d47-4976-445c-9474-1f2eca27acbe,E-scoring,15/11/2025 17:55 (Australia/Melbourne),2025-11-15T17:56:00+11:00[Australia/Melbourne],,
16/11/2025,2025-11-16,One Day,3. Compare & Conect Dorothy McIntosh Shield,Round 6,Final,Kalang Park,Kalang Park,13:00,Blackburn - 2nd XI,Bat,Laburnum - 1st XI,Laburnum Cricket Club,3/184 (27.5),40,Won,11,12,Blackburn - 2nd XI,Blackburn Cricket Club,10/181 (39.3),40,Lost,11,13,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,714da8,714da840-1c4c-4cea-8838-3dd2c8a9874c,Manual,17/11/2025 07:04 (Australia/Melbourne),2025-11-17T07:04:00+11:00[Australia/Melbourne],Ross Digby,Laburnum Cricket Club
22/11/2025,2025-11-22,One Day,"A Grade (80 Overs, 12 Players)",Round 6,Final,Kalang Park,Kalang Park,13:00,Laburnum - 2nd XI,Bat,Laburnum - 2nd XI,Laburnum Cricket Club,10/134 (35.3),40,Won,12,,Nunawading - 2nd XI,Nunawading Cricket Club,10/133 (34.5),40,Lost,12,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,ba512d,ba512d1f-4de4-48ee-8ebb-59696d60e3a3,E-scoring,22/11/2025 18:17 (Australia/Melbourne),2025-11-24T10:19:00+11:00[Australia/Melbourne],Thomas Taylor,Nunawading Cricket Club
22/11/2025,2025-11-22,One Day,"I Grade (Split Innings - 64 Overs, 13 Players)",Round 5,Final,Highfield Park,South Oval,13:00,Laburnum - 5th XI,Bat,Laburnum - 5th XI,Laburnum Cricket Club,7/137 (32),32,Won,12,,Vermont South - 4thXI,Vermont South Cricket Club,10/81 (29),32,Lost,11,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,e08f86,e08f862f-9e39-4a63-8edd-52461d2721f4,E-scoring,22/11/2025 17:19 (Australia/Melbourne),2025-11-23T09:30:00+11:00[Australia/Melbourne],Andrew Paroissien,Vermont South Cricket Club
22/11/2025,2025-11-22,One Day,"C Grade (70 Overs, 12 Players)",Round 5,Final,Mirrabooka Reserve,Mirrabooka Reserve #3 - North,13:00,Blackburn South - 2nd XI,Bowl,Laburnum - 3rd XI,Laburnum Cricket Club,4/201 (35),35,Lost,12,,Blackburn South - 2nd XI,Blackburn South Cricket Club,8/205 (33.1),35,Won,11,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,b130dc,b130dc8c-c952-4cd4-bf1f-736f9365c039,E-scoring,22/11/2025 18:17 (Australia/Melbourne),2025-11-23T16:28:00+11:00[Australia/Melbourne],Justin Lui,Blackburn South Cricket Club
